file_name,snr,pesq_score,ber,encode_time,decode_time,msg
CycleGAN-arf_04766_00514064948-cof_02484_009902,25.90,3.52,0.00,0.10,0.02,[1 1 1 1 0 1 0 0 0 1 1 0 1 0 1 0]
CycleGAN-arf_04766_00514064948-cof_06136_010652,28.64,4.11,0.00,0.09,0.01,[1 1 0 0 1 1 1 1 0 1 1 0 1 0 1 1]
CycleGAN-arf_04766_00514064948-com_00610_019312,32.79,4.43,0.00,0.09,0.02,[1 1 1 1 0 0 0 0 0 0 1 1 0 0 1 1]
CycleGAN-arf_04766_00514064948-com_09334_020403,26.68,3.96,0.00,0.09,0.02,[1 1 1 0 1 1 1 0 0 1 0 1 0 0 1 0]
CycleGAN-arf_04766_00514064948-pef_07049_019276,34.08,4.30,0.00,0.08,0.01,[1 1 1 1 1 0 0 0 1 0 0 1 0 0 0 1]
CycleGAN-arf_04766_00514064948-pem_08784_017662,30.48,4.21,0.00,0.09,0.01,[1 1 0 1 1 0 0 1 1 0 0 0 1 0 0 1]
CycleGAN-arf_04766_00514064948-vef_05223_002653,30.10,4.25,0.00,0.09,0.02,[0 1 0 1 1 0 0 1 1 0 1 0 0 1 0 0]
CycleGAN-arf_04766_00889749220-clf_07049_002640,26.37,3.61,0.00,0.12,0.02,[1 1 0 0 1 1 1 0 1 0 1 0 0 0 0 0]
CycleGAN-arf_04766_00889749220-clf_09697_010452,27.00,4.03,0.00,0.07,0.01,[0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0]
CycleGAN-arf_04766_00889749220-clm_07049_018040,23.79,3.55,0.00,0.06,0.01,[0 1 1 1 1 1 0 0 0 1 1 0 0 0 1 1]
CycleGAN-arf_04766_00889749220-com_02436_000190,28.31,4.24,0.00,0.07,0.01,[1 0 0 0 0 1 1 0 1 1 0 0 1 1 0 0]
CycleGAN-arf_04766_00889749220-pef_03397_011770,28.20,4.34,0.00,0.07,0.01,[1 0 0 1 0 0 1 1 0 1 1 1 0 0 1 1]
CycleGAN-arf_04766_00889749220-pem_01208_012975,27.61,4.18,0.00,0.07,0.01,[0 0 1 0 1 1 1 1 1 0 0 0 1 1 0 1]
CycleGAN-arf_04766_00889749220-pem_08784_000415,25.13,3.98,0.00,0.06,0.01,[1 0 1 0 1 1 0 1 0 0 0 0 1 1 1 1]
CycleGAN-arf_04766_00889749220-vef_05223_009097,27.95,4.35,0.00,0.07,0.01,[0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0]
CycleGAN-arf_04766_00889749220-vem_04310_015232,28.78,4.23,0.00,0.06,0.01,[0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0]
CycleGAN-arf_04766_00995352548-clf_03397_008563,29.69,4.32,0.00,0.09,0.01,[0 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0]
CycleGAN-arf_04766_00995352548-com_02436_018849,28.48,4.28,0.00,0.08,0.01,[0 1 0 0 0 1 1 0 0 0 1 1 0 1 0 0]
CycleGAN-arf_04766_00995352548-pef_07049_011209,27.70,4.19,0.00,0.08,0.01,[0 0 1 0 0 1 1 1 0 0 1 0 0 1 1 1]
CycleGAN-arf_04766_00995352548-pef_07508_012014,25.63,3.92,0.00,0.08,0.01,[1 1 1 0 0 0 0 1 1 1 1 0 0 1 0 0]
CycleGAN-arf_04766_00995352548-vef_09697_008803,27.74,4.35,0.00,0.08,0.01,[0 1 1 1 0 0 1 1 0 1 0 1 1 1 0 1]
CycleGAN-arf_04766_01085934274-arm_00610_008290,27.47,4.18,0.00,0.08,0.01,[1 0 1 1 0 0 1 1 0 0 0 1 1 0 0 0]
CycleGAN-arf_04766_01085934274-clf_07049_019100,27.84,3.64,0.00,0.09,0.01,[1 0 1 1 0 1 1 1 1 0 0 1 0 1 0 1]
CycleGAN-arf_04766_01085934274-cof_08784_016509,26.28,4.12,0.00,0.08,0.01,[1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0]
CycleGAN-arf_04766_01085934274-com_09334_005884,23.69,3.73,0.00,0.09,0.01,[1 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0]
CycleGAN-arf_04766_01085934274-vef_03397_005722,26.95,4.08,0.00,0.09,0.02,[0 1 1 0 1 0 1 1 1 1 0 0 1 1 1 1]
CycleGAN-arf_04766_01147071534-clf_09697_012717,26.47,4.08,0.00,0.08,0.01,[0 1 0 1 1 1 1 1 0 0 1 1 1 1 0 0]
CycleGAN-arf_04766_01147071534-clm_04310_001320,31.84,4.40,0.00,0.07,0.01,[1 1 0 0 0 1 0 1 0 0 0 1 0 1 1 1]
CycleGAN-arf_04766_01147071534-clm_08421_004952,29.19,3.79,0.00,0.07,0.01,[0 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1]
CycleGAN-arf_04766_01147071534-com_02436_016939,30.08,4.25,0.00,0.07,0.01,[0 1 1 0 1 1 0 1 0 1 1 1 1 0 1 0]
CycleGAN-arf_04766_01147071534-pef_01208_006208,30.89,4.01,0.00,0.07,0.01,[0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 1]
CycleGAN-arf_04766_01147071534-pem_04310_009232,29.27,4.03,0.00,0.07,0.01,[0 0 1 0 1 0 0 1 1 1 0 1 0 1 1 0]
CycleGAN-arf_04766_01147071534-vem_09697_010545,27.45,4.12,0.00,0.07,0.01,[0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 1]
